location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"los angeles, ca",incident,2006-06-02,united states,non-fatal,airplane,boeing,767-223(er),2.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,los angeles,ca
"new york, ny",accident,2006-06-08,united states,non-fatal,airplane,boeing,737-300,2.0,turbo fan,0.0,0.0,0.0,0.0,40.777223,-73.8725,no,new york,ny
"denver, co",incident,2006-06-09,united states,non-fatal,airplane,mcdonnell douglas,md-90-30,2.0,turbo fan,0.0,0.0,0.0,0.0,39.851667,-104.666667,no,denver,co
"dulles, va",accident,2006-06-17,united states,non-fatal,airplane,boeing,767-300,2.0,turbo fan,0.0,0.0,0.0,0.0,38.945,-77.456667,no,dulles,va
"chicago, il",accident,2006-06-20,united states,non-fatal,airplane,mcdonnell douglas,dc-9-83,2.0,turbo fan,0.0,0.0,0.0,0.0,41.978611,-87.904722,no,chicago,il
"masonville, co",accident,2006-07-07,united states,non-fatal,airplane,airbus,a319-131,2.0,turbo fan,0.0,0.0,1.0,0.0,39.85,-104.677223,no,masonville,co
"newark, nj",accident,2006-07-24,united states,non-fatal,airplane,embraer,emb-135lr,2.0,turbo fan,0.0,0.0,0.0,0.0,40.6925,-74.168611,no,newark,nj
"pittsburgh, pa",accident,2006-07-27,united states,non-fatal,airplane,boeing,737-300,2.0,turbo fan,0.0,3.0,0.0,3.0,40.488055,-80.226389,no,pittsburgh,pa
"memphis, tn",accident,2006-07-28,united states,non-fatal,airplane,boeing,md-10-10f,3.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,memphis,tn
"long beach, ca",incident,2006-08-20,united states,non-fatal,airplane,mcdonnell douglas,dc-9-83,2.0,turbo fan,0.0,0.0,0.0,0.0,33.818334,-118.152778,no,long beach,ca
"newark, nj",incident,2006-08-21,united states,non-fatal,airplane,boeing,737-524,2.0,turbo fan,0.0,0.0,0.0,0.0,40.6925,-74.168611,no,newark,nj
